870 2774
441 645 983
15 224 493
239 157 672
202 402 970
407 788 894
651 184 824
419 540 579
767 529 485
464 513 19
298 309 352
47 759 651
849 750 324
19 352 743
601 854 522
692 620 587
191 255 938
299 504 904
164 346 466
851 657 89
750 454 696
482 396 865
262 2 185
582 750 544
34 189 970
616 742 602
391 103 237
745 578 407
14 533 594
633 6 199
597 816 670
391 506 913
163 786 332
111 284 669
522 391 812
398 260 76
399 112 972
3 263 346
28 544 735
230 710 728
158 149 152
557 384 961
503 60 701
247 545 546
200 483 325
701 269 573
734 436 376
112 619 422
555 419 116
202 830 517
514 411 13
586 841 238
808 363 399
745 136 630
378 536 647
818 826 498
432 124 732
579 643 391
112 210 838
181 459 34
1 514 575
471 299 203
715 40 524
167 450 500
646 15 402
336 96 177
260 848 766
761 775 830
651 95 757
789 10 155
847 457 231
729 852 146
508 809 737
295 91 311
659 324 691
254 135 442
72 340 785
61 544 1
256 855 810
63 50 351
46 539 296
743 489 123
638 774 168
144 788 221
422 392 252
348 778 449
627 673 383
426 448 678
740 90 71
370 739 932
260 299 810
853 314 670
561 507 294
195 795 62
114 186 992
370 73 711
545 155 935
311 781 987
582 182 98
652 614 857
657 51 585
688 626 602
45 559 636
387 28 568
811 52 693
275 144 783
242 729 208
719 776 350
653 579 658
627 754 818
640 656 704
626 387 800
352 531 494
394 315 146
675 498 910
838 462 624
666 285 581
76 802 673
80 324 6
16 570 332
507 27 731
191 674 972
211 661 386
214 333 331
729 628 18
227 68 449
74 716 203
148 161 589
773 728 747
813 794 674
848 781 969
350 275 843
48 19 781
111 764 617
107 497 522
519 816 990
317 553 931
740 516 548
201 766 104
269 384 850
724 251 573
821 233 150
776 633 358
287 82 538
821 130 663
414 95 390
286 180 792
474 515 381
806 403 207
207 13 184
605 277 367
676 225 451
101 414 567
544 422 104
164 35 933
769 420 4
729 305 577
626 541 960
246 594 989
757 533 865
517 253 745
662 665 461
754 514 254
295 554 284
731 656 473
119 273 29
869 445 61
126 341 1
398 596 619
177 740 769
35 765 381
677 134 474
815 826 529
846 300 761
724 287 227
745 160 854
19 754 493
702 521 289
860 648 99
116 141 66
224 827 531
581 293 41
9 105 982
673 707 193
464 793 13
24 232 636
325 23 941
434 652 95
812 317 851
94 67 570
115 451 951
244 275 462
817 620 866
392 624 545
285 795 873
485 350 249
714 784 378
50 609 680
811 272 236
119 332 594
601 504 954
136 839 154
750 406 768
741 618 264
344 39 571
513 128 649
558 540 406
155 23 490
765 161 209
803 512 669
101 746 5
356 754 757
342 638 744
180 562 768
65 475 829
857 526 70
618 284 1000
359 307 85
591 570 190
398 780 916
644 538 568
688 29 396
201 546 143
175 174 28
490 83 182
319 354 564
52 390 64
673 661 338
107 321 138
27 276 965
255 676 216
585 637 795
595 392 872
675 480 153
156 659 553
389 683 519
262 690 660
396 36 234
207 134 86
58 587 615
404 425 578
328 638 60
197 447 431
425 767 64
643 501 21
620 257 373
806 847 916
216 124 716
685 12 919
612 550 386
453 384 590
676 603 773
174 406 498
403 757 354
312 209 824
848 19 885
614 326 941
115 750 451
566 526 824
87 712 301
747 107 191
754 495 629
455 519 513
838 787 707
378 354 815
869 81 774
473 603 665
12 687 644
696 273 194
762 432 535
741 32 310
197 566 598
380 94 788
649 730 2
235 292 989
67 322 38
695 396 409
499 803 410
598 791 722
682 4 699
213 627 882
772 684 564
587 703 451
819 541 102
69 681 571
45 381 84
345 517 890
49 798 525
247 243 52
639 821 282
45 576 70
164 490 648
21 232 84
387 255 719
361 555 499
539 835 233
475 562 397
36 623 831
181 325 508
49 698 532
217 70 941
308 754 364
363 590 679
62 134 617
314 338 716
496 535 227
475 513 412
566 104 214
457 671 974
489 215 307
94 373 575
815 587 755
420 497 350
16 150 316
394 441 693
867 395 687
273 536 153
89 214 221
249 205 849
691 555 904
524 18 117
687 390 845
194 653 292
596 578 536
261 834 768
581 315 777
454 8 392
613 774 64
653 221 1000
145 755 720
826 736 619
314 46 34
353 864 697
378 756 716
650 464 796
787 13 716
612 758 578
95 627 788
103 755 613
712 172 141
607 146 925
724 605 347
422 405 921
404 91 119
47 467 596
856 40 552
187 496 234
125 833 828
770 23 112
354 340 390
487 663 863
372 538 560
282 133 524
470 214 990
269 722 144
162 429 987
299 60 133
725 44 673
601 122 474
245 858 283
750 52 11
543 220 588
658 562 167
28 44 869
547 217 597
566 504 344
381 820 245
463 200 717
141 218 834
820 633 767
386 440 498
275 113 940
150 151 653
262 870 735
542 753 309
690 504 416
540 541 236
642 362 944
748 106 333
764 17 371
47 811 605
600 443 784
283 86 846
160 27 647
480 153 348
794 243 37
536 643 47
563 812 677
793 413 979
275 3 909
196 842 645
145 692 769
685 431 850
137 846 98
183 450 948
641 324 934
830 741 521
440 457 37
181 452 185
866 552 69
108 173 748
214 15 856
278 370 580
396 438 57
579 21 840
756 287 963
207 94 266
280 13 589
254 103 692
303 566 153
867 823 63
651 135 312
771 508 435
638 391 802
456 598 705
839 339 616
55 37 750
230 479 270
350 141 365
209 313 572
257 439 869
627 383 377
152 410 945
672 788 484
744 802 999
751 405 43
514 774 818
382 79 245
159 703 853
144 516 317
633 865 345
185 629 90
197 252 652
30 201 839
389 396 99
502 417 218
75 826 348
99 674 360
226 463 200
517 323 428
215 631 239
67 853 262
582 48 135
334 218 900
507 435 205
674 761 783
751 211 914
489 50 707
112 314 123
35 515 921
580 636 376
859 255 753
338 422 32
267 841 722
832 186 275
12 629 497
140 737 812
760 254 90
188 546 760
592 265 682
562 628 630
63 90 867
710 61 463
400 629 524
865 477 154
194 634 302
613 260 646
737 8 306
633 233 430
290 70 441
338 180 961
197 530 991
185 599 503
660 658 666
403 292 874
140 2 65
708 532 981
591 572 87
209 268 368
520 619 772
241 317 304
122 226 96
804 550 89
161 38 613
133 70 967
83 650 548
220 525 490
78 502 69
230 18 448
197 93 837
305 231 954
863 252 505
629 434 828
86 191 98
43 541 910
209 473 965
548 246 954
248 537 113
635 736 200
593 616 348
38 778 604
110 227 103
41 390 754
628 375 111
671 731 102
245 590 534
556 335 4
557 850 4
358 778 820
557 61 626
471 815 376
505 867 783
594 315 346
701 593 825
534 281 99
76 252 818
115 85 861
402 818 942
218 593 727
265 737 649
67 105 632
566 120 929
708 438 724
801 100 130
858 818 275
347 33 495
427 419 994
712 150 951
671 424 555
375 500 822
856 216 434
500 575 685
602 363 536
832 758 260
833 271 22
190 818 164
136 187 818
279 130 458
807 244 986
261 107 373
276 673 718
292 592 514
296 684 70
126 278 224
671 484 448
118 258 242
843 554 158
485 748 729
363 770 352
171 746 794
766 526 275
99 72 636
13 534 257
840 437 266
346 114 623
349 79 236
550 449 73
657 31 598
846 700 460
436 853 422
2 300 108
272 376 703
539 308 736
61 435 157
115 537 682
605 831 632
298 402 317
271 362 251
52 363 640
261 825 256
303 189 990
686 739 709
233 734 767
136 356 594
233 585 441
182 663 785
31 617 914
454 723 686
482 498 121
678 195 904
158 304 1
790 590 470
480 242 695
348 865 97
373 608 738
868 373 50
88 170 826
9 679 914
705 409 571
805 698 888
467 790 411
451 623 229
267 579 684
452 544 511
430 861 477
560 118 310
235 801 882
840 675 961
361 248 171
183 313 558
679 228 652
158 468 110
686 186 14
593 439 444
504 41 726
742 426 236
90 59 973
222 839 857
155 857 184
346 591 326
330 33 677
94 70 327
171 521 205
785 33 542
93 201 393
226 126 204
453 384 548
47 358 258
387 5 796
283 451 271
675 396 488
776 860 876
281 588 336
155 615 28
513 621 127
491 156 402
432 832 722
254 428 718
105 538 802
851 491 968
29 348 404
839 345 407
567 357 158
829 454 751
445 440 483
722 257 324
131 865 477
48 680 317
748 257 796
303 723 610
392 427 628
705 361 157
810 163 929
30 610 757
589 438 569
830 563 982
550 723 357
368 342 639
700 402 880
418 387 233
788 37 563
47 345 945
827 375 754
600 503 944
366 374 408
325 604 614
824 176 686
144 555 355
606 865 58
107 625 298
600 695 933
299 488 612
690 281 237
657 718 87
689 821 336
120 832 448
248 801 765
103 853 355
431 369 852
86 136 720
352 786 81
527 847 415
166 161 840
218 118 353
520 660 415
531 739 562
384 576 897
710 377 736
82 865 135
175 448 871
408 523 880
702 733 192
830 178 512
637 349 590
779 730 378
199 142 733
495 171 363
36 608 538
23 632 516
101 437 486
294 551 688
836 500 933
131 362 129
193 74 117
217 129 819
177 470 549
387 333 12
767 456 850
617 552 671
768 135 786
564 291 679
596 208 53
572 726 324
842 89 624
847 231 213
638 823 327
222 730 477
843 288 53
405 197 360
838 61 665
564 523 498
156 477 995
294 866 285
858 403 418
225 20 433
218 868 152
729 713 622
614 21 642
320 435 153
197 593 443
348 497 145
548 329 4
90 471 461
194 582 499
642 823 115
410 131 35
398 135 411
461 801 472
612 687 378
377 64 236
411 788 96
381 516 370
223 664 504
780 668 532
804 530 807
329 150 829
568 632 103
501 134 583
629 499 703
456 816 576
809 269 358
620 548 453
861 486 801
623 86 220
452 759 641
833 350 649
317 737 74
721 246 800
8 424 545
295 559 984
201 362 791
219 756 542
734 219 721
108 657 971
603 79 347
440 844 231
17 170 929
258 856 522
362 829 56
399 430 56
602 576 426
823 4 980
614 722 703
342 773 115
651 33 803
822 677 549
456 357 598
127 829 407
529 276 169
252 77 876
423 263 163
653 614 149
397 859 340
456 437 714
332 570 736
793 171 891
256 791 255
795 223 1
150 111 556
772 780 859
635 471 12
626 33 598
208 615 385
212 410 240
191 855 815
857 583 333
432 265 341
856 21 556
774 267 646
131 88 138
33 279 726
255 78 547
279 46 21
476 800 654
402 575 796
509 560 575
1 283 160
127 576 601
713 647 497
315 266 769
19 205 858
623 403 824
142 549 445
463 694 814
331 213 138
682 764 404
577 279 761
321 834 760
610 396 863
382 248 831
581 583 148
246 545 573
79 594 546
105 429 791
765 8 694
643 341 157
800 314 718
438 861 507
624 544 130
421 59 441
450 504 796
82 710 375
374 217 398
122 558 301
28 208 413
381 454 316
868 476 823
747 689 928
320 499 247
479 609 993
716 540 150
610 25 342
13 426 53
563 24 940
421 571 73
813 353 611
727 222 391
703 52 968
148 426 374
168 579 484
525 521 98
297 735 334
592 48 372
542 726 91
124 131 65
376 445 442
424 771 263
669 664 62
292 447 647
856 626 469
595 382 428
21 15 359
727 844 942
289 217 969
28 69 91
161 666 269
859 139 330
149 744 876
639 801 351
412 246 276
598 737 656
414 687 451
752 736 90
242 811 752
661 391 77
175 14 502
242 469 441
124 247 867
537 116 552
378 523 248
544 325 751
602 145 876
69 221 513
75 542 377
217 5 929
235 41 138
59 821 108
668 73 513
850 160 686
520 451 275
698 203 948
25 215 757
283 202 50
815 543 827
322 567 289
814 830 299
777 420 286
37 478 691
777 514 994
491 143 764
527 491 227
218 259 343
452 166 976
170 136 795
467 152 570
705 202 423
451 840 617
817 409 891
622 14 485
681 833 25
222 448 871
675 850 907
313 404 342
128 609 945
423 431 720
611 202 226
593 808 325
709 189 491
387 400 409
603 512 600
807 590 309
783 738 295
90 695 399
612 708 546
387 109 319
704 557 511
652 413 224
255 391 535
554 335 75
116 479 603
113 207 782
834 825 500
159 733 192
228 93 758
855 181 34
778 255 825
850 37 997
810 26 898
516 236 228
191 813 131
576 852 601
145 806 556
260 196 400
44 331 908
225 659 735
415 693 740
433 777 999
481 280 10
362 9 972
255 376 268
748 150 94
1 13 704
80 822 849
648 487 924
522 727 500
131 480 507
806 544 781
183 741 71
490 242 832
